,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
48,"49,-0.45314524,-0.5585438,0.45250553,1.752312,-9.642699,-0.3437423,-0.0046603945,-0.0039946237,-0.00039946238,1.8131614,-9.956535,-0.35712877"
49,"50,-0.45314524,-0.5585438,0.45250553,1.752312,-9.642699,-0.3437423,-0.0046603945,-0.0039946237,-0.00039946238,1.8131614,-9.956535,-0.35712877"
50,"51,-0.4532704,-0.558634,0.4524424,1.7534083,-9.642064,-0.35577068,-0.0046603945,-0.0039946237,-0.00039946238,1.8131614,-9.956535,-0.35712877"
51,"52,-0.4532704,-0.558634,0.4524424,1.7534083,-9.642064,-0.35577068,-0.0046603945,-0.0039946237,-0.00039946238,1.791626,-9.963116,-0.35593235"
52,"53,-0.4532704,-0.558634,0.4524424,1.7534083,-9.642064,-0.35577068,-0.004926703,-0.0038614697,0.0005326165,1.791626,-9.963116,-0.35593235"
53,"54,-0.4532704,-0.558634,0.4524424,1.7534083,-9.642064,-0.35577068,-0.004926703,-0.0038614697,0.0005326165,1.791626,-9.963116,-0.35593235"
54,"55,-0.4532704,-0.558634,0.4524424,1.7534083,-9.642064,-0.35577068,-0.004926703,-0.0038614697,0.0005326165,1.791626,-9.963116,-0.35593235"
55,"56,-0.45349804,-0.55899805,0.4521292,1.7491828,-9.642732,-0.35841557,-0.004926703,-0.0038614697,0.0005326165,1.791626,-9.963116,-0.35593235"
56,"57,-0.45349804,-0.55899805,0.4521292,1.7491828,-9.642732,-0.35841557,-0.004926703,-0.0038614697,0.0005326165,1.8239291,-9.956535,-0.40558344"
57,"58,-0.45349804,-0.55899805,0.4521292,1.7491828,-9.642732,-0.35841557,-0.007323477,-0.0018641578,0.0014646954,1.8239291,-9.956535,-0.40558344"
58,"59,-0.45349804,-0.55899805,0.4521292,1.7491828,-9.642732,-0.35841557,-0.007323477,-0.0018641578,0.0014646954,1.8239291,-9.956535,-0.40558344"
59,"60,-0.45349804,-0.55899805,0.4521292,1.7491828,-9.642732,-0.35841557,-0.007323477,-0.0018641578,0.0014646954,1.8239291,-9.956535,-0.40558344"
