,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
108,"109,-2.5190437,2.7844949,0.9457356,3.6124194,-9.088442,0.72182465,0.01184815,-0.11336494,0.048202775,0.12173319,-0.12926471,0.17773116"
109,"110,-2.5190437,2.7844949,0.9457356,3.6124194,-9.088442,0.72182465,0.01184815,-0.11336494,0.048202775,0.12173319,-0.12926471,0.17773116"
110,"111,-2.5190437,2.7844949,0.9457356,3.6124194,-9.088442,0.72182465,0.01184815,-0.11336494,0.048202775,0.12173319,-0.12926471,0.17773116"
111,"112,-2.5190437,2.7844949,0.9457356,3.6124194,-9.088442,0.72182465,0.01184815,-0.11336494,0.048202775,0.12173319,-0.12926471,0.17773116"
112,"113,-2.5295186,2.7826715,0.8338727,3.5876563,-9.097749,0.7280685,-0.0055349567,-0.116608836,0.08205235,0.104077384,0.58048075,0.13394924"
113,"114,-2.5295186,2.7826715,0.8338727,3.5876563,-9.097749,0.7280685,-0.0055349567,-0.116608836,0.08205235,0.104077384,0.58048075,0.13394924"
114,"115,-2.5295186,2.7826715,0.8338727,3.5876563,-9.097749,0.7280685,-0.0055349567,-0.116608836,0.08205235,0.104077384,0.58048075,0.13394924"
115,"116,-2.5295186,2.7826715,0.8338727,3.5876563,-9.097749,0.7280685,-0.0055349567,-0.116608836,0.08205235,0.104077384,0.58048075,0.13394924"
116,"117,-2.5295186,2.7826715,0.8338727,3.5876563,-9.097749,0.7280685,-0.0055349567,-0.116608836,0.08205235,0.104077384,0.58048075,0.13394924"
117,"118,-2.5295186,2.7826715,0.8338727,3.5876563,-9.097749,0.7280685,-0.0055349567,-0.116608836,0.08205235,0.104077384,0.58048075,0.13394924"
118,"119,-2.5421011,2.781252,0.7613624,3.549984,-9.112099,0.73325515,-0.03101556,-0.12299762,0.1006257,0.14367934,-0.1731659,0.013913765"
119,"120,-2.5421011,2.781252,0.7613624,3.549984,-9.112099,0.73325515,-0.03101556,-0.12299762,0.1006257,0.14367934,-0.1731659,0.013913765"
120,"121,-2.5421011,2.781252,0.7613624,3.549984,-9.112099,0.73325515,-0.03101556,-0.12299762,0.1006257,0.14367934,-0.1731659,0.013913765"
121,"122,-2.5421011,2.781252,0.7613624,3.549984,-9.112099,0.73325515,-0.03101556,-0.12299762,0.1006257,0.14367934,-0.1731659,0.013913765"
