,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
52,"53,2.0976057,-0.08353652,0.2957557,-0.6271323,-3.9115713,8.9708805,0.0038624394,-0.0041605327,-0.0011519183,0.01269845,0.023089102,0.006752811"
53,"54,2.0976057,-0.08353652,0.2957557,-0.6271323,-3.9115713,8.9708805,0.0038624394,-0.0041605327,-0.0011519183,0.01269845,0.023089102,0.006752811"
54,"55,2.0976214,-0.081632555,0.2803563,-0.62857157,-3.9272335,8.963934,-0.0007590737,-0.0029969038,-0.0010965581,0.01792099,0.02198066,0.011413955"
55,"56,2.0976214,-0.081632555,0.2803563,-0.62857157,-3.9272335,8.963934,-0.0007590737,-0.0029969038,-0.0010965581,0.01792099,0.02198066,0.011413955"
56,"57,2.0976214,-0.081632555,0.2803563,-0.62857157,-3.9272335,8.963934,-0.0007590737,-0.0029969038,-0.0010965581,0.01792099,0.02198066,0.011413955"
57,"58,2.0976214,-0.081632555,0.2803563,-0.62857157,-3.9272335,8.963934,-0.0007590737,-0.0029969038,-0.0010965581,0.01792099,0.02198066,0.011413955"
58,"59,2.0976214,-0.081632555,0.2803563,-0.62857157,-3.9272335,8.963934,-0.0007590737,-0.0029969038,-0.0010965581,0.01792099,0.02198066,0.011413955"
59,"60,2.0980802,-0.07911649,0.26300776,-0.62585115,-3.9478652,8.955058,0.0009837084,0.0030863318,-0.0025242127,0.015269616,0.016948838,0.0066042673"
60,"61,2.0980802,-0.07911649,0.26300776,-0.62585115,-3.9478652,8.955058,0.0009837084,0.0030863318,-0.0025242127,0.015269616,0.016948838,0.0066042673"
61,"62,2.0980802,-0.07911649,0.26300776,-0.62585115,-3.9478652,8.955058,0.0009837084,0.0030863318,-0.0025242127,0.015269616,0.016948838,0.0066042673"
62,"63,2.0980802,-0.07911649,0.26300776,-0.62585115,-3.9478652,8.955058,0.0009837084,0.0030863318,-0.0025242127,0.015269616,0.016948838,0.0066042673"
63,"64,2.0980802,-0.07911649,0.26300776,-0.62585115,-3.9478652,8.955058,0.0009837084,0.0030863318,-0.0025242127,0.015269616,0.016948838,0.0066042673"
64,"65,2.098994,-0.07589869,0.24493276,-0.616549,-3.9712677,8.94535,-0.0042595426,0.00014265902,0.0022069563,0.017194074,0.0140751535,0.008543308"
65,"66,2.098994,-0.07589869,0.24493276,-0.616549,-3.9712677,8.94535,-0.0042595426,0.00014265902,0.0022069563,0.017194074,0.0140751535,0.008543308"
66,"67,2.098994,-0.07589869,0.24493276,-0.616549,-3.9712677,8.94535,-0.0042595426,0.00014265902,0.0022069563,0.017194074,0.0140751535,0.008543308"
67,"68,2.098994,-0.07589869,0.24493276,-0.616549,-3.9712677,8.94535,-0.0042595426,0.00014265902,0.0022069563,0.017194074,0.0140751535,0.008543308"
68,"69,2.1002638,-0.07245436,0.2279256,-0.6025657,-3.9950464,8.93571,-0.0015117597,-0.005550926,0.014425594,0.01520269,0.01897294,0.0065844357"
69,"70,2.1002638,-0.07245436,0.2279256,-0.6025657,-3.9950464,8.93571,-0.0015117597,-0.005550926,0.014425594,0.01520269,0.01897294,0.0065844357"
70,"71,2.1002638,-0.07245436,0.2279256,-0.6025657,-3.9950464,8.93571,-0.0015117597,-0.005550926,0.014425594,0.01520269,0.01897294,0.0065844357"
71,"72,2.1002638,-0.07245436,0.2279256,-0.6025657,-3.9950464,8.93571,-0.0015117597,-0.005550926,0.014425594,0.01520269,0.01897294,0.0065844357"
72,"73,2.1002638,-0.07245436,0.2279256,-0.6025657,-3.9950464,8.93571,-0.0015117597,-0.005550926,0.014425594,0.01520269,0.01897294,0.0065844357"
