Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z
0.7465028,0.085751764,-0.62167007,-4.2834883,-8.7301655,-1.2674068,0.04136366,0.02808679,-0.104288,2.4831247,-2.116458,1.0453515
0.7468176,0.07129,-0.62674487,-3.9617977,-8.885748,-1.2320838,0.023198059,0.007198957,-0.09714014,2.8270216,-1.3479605,0.6125913
0.7464031,0.05635988,-0.63191396,-3.6406748,-9.0287,-1.1825645,0.0084637245,-0.01438088,-0.08992628,2.3814003,-1.511466,1.3435812
0.74654007,0.040608704,-0.63595265,-3.3074555,-9.159332,-1.1566186,-0.0004875957,-0.029071564,-0.08013178,2.0146623,0.29989433,0.08701646
0.7461342,0.025806256,-0.63975114,-2.9957478,-9.269802,-1.1254538,-0.0045384727,-0.032712564,-0.06830385,2.5074058,-1.6965313,-0.3894695
0.7455099,0.012115749,-0.6432233,-2.6994257,-9.363763,-1.0970067,-0.0068231463,-0.027961167,-0.05906296,2.862306,0.6144581,0.24288255
0.74426275,0.00024414062,-0.6468539,-2.4308503,-9.441539,-1.0576878,-0.0074970503,-0.020565255,-0.055344243,2.2250237,-0.45219326,0.39988804
0.7426486,-0.01025318,-0.65064245,-2.4308503,-9.441539,-1.0576878,-0.0025306004,-0.014668327,-0.05504828,2.2250237,-0.45219326,0.39988804
0.7426486,-0.01025318,-0.65064245,-2.173693,-9.508941,-1.0126741,-0.0025306004,-0.014668327,-0.05504828,1.3070672,3.546485,-0.1814264
0.740914,-0.018561114,-0.65428966,-1.9467514,-9.562722,-0.9668964,0.010477985,-0.011146566,-0.054010276,1.4871397,-0.09158993,1.9850367
0.7379995,-0.024477761,-0.6589429,-1.7587196,-9.606764,-0.8873529,0.029033238,-0.00874159,-0.05140515,4.904773,6.6131163,2.3364491
0.73502135,-0.029688193,-0.66346174,-1.5840498,-9.644178,-0.8068467,0.04770773,-0.0064675636,-0.049603816,2.6040537,-1.1880798,1.7148538
0.73185575,-0.034467954,-0.66791797,-1.4246756,-9.675727,-0.7217861,0.061989598,-0.0043021273,-0.05049277,1.8700714,0.40448666,1.4669876
0.72852224,-0.03891325,-0.6723058,-1.2798766,-9.702164,-0.6327033,0.06922369,-0.002464594,-0.05353013,1.145876,-0.19635677,1.320444
0.7251607,-0.043003935,-0.6765045,-1.1499673,-9.723818,-0.5434331,0.06953562,-0.0006888088,-0.05403263,0.4413588,0.98887825,2.5048883
0.72166485,-0.046571385,-0.68066764,-1.0363431,-9.741325,-0.45049775,0.06609477,0.0016086401,-0.047449026,-1.2045534,1.0877886,1.2866788
0.7188153,-0.04898306,-0.6840533,-0.9488085,-9.753455,-0.374512,0.06141896,0.0049164128,-0.033166092,-0.49721366,1.4207411,0.50679827
0.71583426,-0.05070725,-0.68761975,-0.8662066,-9.763895,-0.2940016,0.05599792,0.009401655,-0.014517151,0.7992437,-0.43150616,0.7327455
0.712801,-0.051245403,-0.69127005,-0.8001538,-9.771694,-0.21008562,0.050271332,0.013958226,-0.00093473593,3.3668108,2.4014487,1.539472
0.7100019,-0.051050644,-0.694679,-0.7457243,-9.7773695,-0.13158208,0.045268685,0.017009426,-0.0014755626,1.6316531,0.30022812,0.22077277
0.7072378,-0.04985732,-0.6979658,-0.71653885,-9.780297,-0.052387126,0.04129659,0.01826887,-0.015949065,1.0948972,0.41807747,0.8694146
0.7042307,-0.04852936,-0.7014312,-0.69259125,-9.782105,0.0334203,0.03727659,0.019382462,-0.03368669,1.2146015,-0.37020016,0.9942968
0.7013733,-0.048064712,-0.7047198,-0.650462,-9.784401,0.11307651,0.032403823,0.022140892,-0.04384529,0.39675146,-0.5354986,1.039139
0.698424,-0.04786153,-0.70799416,-0.6099733,-9.78573,0.19443162,0.027395854,0.025812764,-0.046877325,1.3187312,-0.18461609,0.8093435
0.69549537,-0.04782867,-0.7111259,-0.5755479,-9.785895,0.27455848,0.023589838,0.028434921,-0.047861032,0.61871815,-0.5818882,0.7962542
0.69549537,-0.04782867,-0.7111259,-0.5386217,-9.785642,0.34856427,0.021604324,0.029698625,-0.045759473,0.66798323,-0.20864677,2.2401714
0.6905724,-0.049138423,-0.71622574,-0.49947667,-9.785507,0.40590253,0.020988973,0.031024076,-0.035523158,0.07817218,1.270834,1.4980918
0.6905724,-0.049138423,-0.71622574,-0.46447748,-9.785176,0.45275137,0.020855896,0.03295423,-0.017841958,-0.25849622,-0.4628973,0.76650167
0.6868074,-0.050191835,-0.7200305,-0.44466418,-9.783509,0.50555944,0.020823957,0.03438508,0.00051208196,-0.64701635,-0.12937641,0.8860761
0.6868074,-0.050191835,-0.7200305,-0.44435695,-9.7809,0.5540022,0.021210413,0.034252003,0.013880509,-0.6569004,-0.06494808,0.8855173
0.682793,-0.04843716,-0.72404313,-0.4492131,-9.776919,0.61679125,0.02233891,0.03242618,0.021872608,-0.7142934,-0.75845814,1.4021246
0.682793,-0.04843716,-0.72404313,-0.46557885,-9.770816,0.6962688,0.027423533,0.028182607,0.025598776,-0.03234005,-0.8555412,2.4574978
0.67625034,-0.04415859,-0.7305461,-0.47998503,-9.762258,0.79895836,0.04057691,0.020471567,0.024941904,-0.93251824,1.7503662,2.58944
0.672466,-0.041944254,-0.73427165,-0.4895686,-9.752726,0.9028041,0.059499454,0.010509923,0.021247676,-2.0051131,0.309103,4.5110874
0.66839814,-0.03900658,-0.7382394,-0.5102764,-9.740684,1.0144482,0.07345555,0.0018737303,0.016774144,-0.41859853,3.371214,-2.0792618
0.66397196,-0.03531885,-0.74252623,-0.5394889,-9.725739,1.1354896,0.07270074,-6.174793e-05,0.015540251,0.4773144,-0.024341583,0.9313103
0.6603133,-0.030984947,-0.7461415,-0.57443184,-9.711455,1.2361528,0.059665535,0.010636614,0.021237029,-1.407891,0.5264063,0.8833195
0.6570611,-0.026226941,-0.7494291,-0.6076361,-9.697636,1.3255234,0.044128478,0.036466412,0.031350914,-0.82402086,-2.9159079,0.88014007
0.65420765,-0.020537945,-0.7523864,-0.6489633,-9.6838875,1.404127,0.033604715,0.07177452,0.03674534,-0.25118124,-2.388567,0.6339425
0.6513929,-0.013999288,-0.7553311,-0.6929492,-9.669433,1.4806349,0.030553514,0.104867145,0.029680526,-0.84405255,1.4516401,1.5294797
0.64948434,-0.0074131964,-0.7575119,-0.7242872,-9.659114,1.5320959,0.035397533,0.12776604,0.0124219805,-4.121499,-0.75655365,5.059742
0.64804244,-0.00012207031,-0.7592417,-0.7609569,-9.650225,1.5698681,0.044212583,0.14091197,-0.0067102965,-0.43606842,0.6710768,-1.1837966
0.6463325,0.007892202,-0.7611154,-0.79993826,-9.640113,1.6120571,0.048988465,0.1504648,-0.01975295,-0.34441465,0.37844944,0.67500913
0.6452624,0.015769767,-0.76236635,-0.82743424,-9.63384,1.6355098,0.04593301,0.16328494,-0.021951389,-3.443744,-0.04441452,0.67070997
0.6443476,0.024076032,-0.7633454,-0.8564684,-9.628458,1.6521572,0.03839231,0.1803295,-0.015835151,2.0344894,2.80409,-1.3714305
0.6432191,0.032728504,-0.7643156,-0.8934741,-9.6218405,1.671014,0.032193027,0.19442506,-0.008802274,-1.0409648,1.6243148,0.77885807
0.6418944,0.040638782,-0.7652988,-0.92794985,-9.614726,1.6930215,0.027898354,0.19471784,-0.003861375,-0.77664584,0.35306263,0.6179867
0.64106303,0.047259975,-0.7657652,-0.96390015,-9.60951,1.7025268,0.01993074,0.17188814,0.004624707,-2.5171921,-0.0926857,-2.867897
0.64106345,0.05216532,-0.7655086,-1.0056915,-9.606919,1.6929504,0.0014957903,0.11979312,0.022026977,-1.9917722,0.42187023,-1.4696845
0.64098287,0.055883415,-0.76528966,-1.0739235,-9.600562,1.6870977,-0.029686915,0.038188964,0.045393247,-1.3010482,-0.6810303,-1.5643882
0.64098287,0.055883415,-0.76528966,-1.1489483,-9.594186,1.673888,-0.067665085,-0.06334379,0.06721262,-0.4646678,-0.67304134,-1.713984
0.64098287,0.055883415,-0.76528966,-1.2235833,-9.58718,1.6610838,-0.09991135,-0.16997822,0.08174681,0.65862685,0.785203,-1.1169951
0.64098287,0.055883415,-0.76528966,-1.3172859,-9.57343,1.6687069,-0.11488522,-0.2700929,0.08763309,0.7379642,0.6852617,0.9008751
0.64101195,0.050832283,-0.7641073,-1.4102039,-9.555214,1.696937,-0.10770329,-0.35899076,0.08782578,-0.81632733,1.2224998,1.8446902
0.6396509,0.045609724,-0.7646578,-1.4839146,-9.536104,1.7410051,-0.08376,-0.43648654,0.08763096,-0.25419986,-0.33847427,2.2890391
0.638069,0.038995877,-0.76518536,-1.5415035,-9.517576,1.7916216,-0.06260175,-0.50495964,0.09012962,1.455387,2.7554574,-3.0192409
0.63616925,0.03146716,-0.7656787,-1.5909872,-9.498342,1.8495044,-0.06470545,-0.57233196,0.09467129,1.8017515,-0.58692646,-0.6589817
0.6349349,0.023189826,-0.7652299,-1.6388036,-9.482394,1.8891515,-0.09217795,-0.64775497,0.102744296,-0.4057685,-0.2341671,0.12018764
