,Gravity X,Gravity Y,Gravity Z,User Acceleration X,User Acceleration Y,User Acceleration Z
101,3.6942682,-7.1067224,5.65838,-0.38439572,0.7492716,0.5559906
102,3.6942682,-7.1067224,5.65838,-0.38439572,0.7492716,0.5559906
103,3.6942682,-7.1067224,5.65838,-0.38439572,0.7492716,0.5559906
104,3.6942682,-7.1067224,5.65838,-0.38439572,0.7492716,0.5559906
105,3.6942682,-7.1067224,5.65838,-0.38439572,0.7492716,0.5559906
106,3.772183,-7.2425976,5.4300838,-0.32813007,0.226806,0.16809751
107,3.772183,-7.2425976,5.4300838,-0.32813007,0.226806,0.16809751
108,3.772183,-7.2425976,5.4300838,-0.32813007,0.226806,0.16809751
109,3.772183,-7.2425976,5.4300838,-0.32813007,0.226806,0.16809751
110,3.772183,-7.2425976,5.4300838,-0.32813007,0.226806,0.16809751
111,3.772183,-7.2425976,5.4300838,-0.32813007,0.226806,0.16809751
112,3.8315725,-7.397806,5.1731906,0.34712845,-0.2571169,0.12531477
113,3.8315725,-7.397806,5.1731906,0.34712845,-0.2571169,0.12531477
114,3.8315725,-7.397806,5.1731906,0.34712845,-0.2571169,0.12531477
115,3.8315725,-7.397806,5.1731906,0.34712845,-0.2571169,0.12531477
116,3.8315725,-7.397806,5.1731906,0.34712845,-0.2571169,0.12531477
117,3.8315725,-7.397806,5.1731906,0.34712845,-0.2571169,0.12531477
118,3.8881073,-7.533861,4.9288893,0.054653678,0.0775276,0.14727043
119,3.8881073,-7.533861,4.9288893,0.054653678,0.0775276,0.14727043
120,3.8881073,-7.533861,4.9288893,0.054653678,0.0775276,0.14727043
121,3.8881073,-7.533861,4.9288893,0.054653678,0.0775276,0.14727043
122,3.8881073,-7.533861,4.9288893,0.054653678,0.0775276,0.14727043
123,3.8881073,-7.533861,4.9288893,0.054653678,0.0775276,0.14727043
124,3.9579296,-7.6606927,4.671078,0.08324816,-0.14626656,0.34308195
125,3.9579296,-7.6606927,4.671078,0.08324816,-0.14626656,0.34308195
126,3.9579296,-7.6606927,4.671078,0.08324816,-0.14626656,0.34308195
127,3.9579296,-7.6606927,4.671078,0.08324816,-0.14626656,0.34308195
128,3.9579296,-7.6606927,4.671078,0.08324816,-0.14626656,0.34308195
129,3.9579296,-7.6606927,4.671078,0.08324816,-0.14626656,0.34308195
130,4.0204797,-7.767255,4.43575,-0.35065466,0.26069653,0.40548953
131,4.0204797,-7.767255,4.43575,-0.35065466,0.26069653,0.40548953
132,4.0204797,-7.767255,4.43575,-0.35065466,0.26069653,0.40548953
133,4.0204797,-7.767255,4.43575,-0.35065466,0.26069653,0.40548953
134,4.0204797,-7.767255,4.43575,-0.35065466,0.26069653,0.40548953
135,4.0204797,-7.767255,4.43575,-0.35065466,0.26069653,0.40548953
136,4.060107,-7.8659925,4.2204356,-0.12598756,0.33409902,-0.01134328
137,4.060107,-7.8659925,4.2204356,-0.12598756,0.33409902,-0.01134328
138,4.060107,-7.8659925,4.2204356,-0.12598756,0.33409902,-0.01134328
139,4.060107,-7.8659925,4.2204356,-0.12598756,0.33409902,-0.01134328
140,4.060107,-7.8659925,4.2204356,-0.12598756,0.33409902,-0.01134328
141,4.060107,-7.8659925,4.2204356,-0.12598756,0.33409902,-0.01134328
142,4.10425,-7.938714,4.037616,0.31000513,-0.18583378,0.34879723
