,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
54,"55,-2.2731347,2.7725065,1.8601876,3.2662234,-2.836906,8.800803,0.03541244,0.081963986,-0.022987263,-0.014596539,0.3459429,0.68937135"
55,"56,-2.2731347,2.7725065,1.8601876,3.2662234,-2.836906,8.800803,0.03541244,0.081963986,-0.022987263,-0.014596539,0.3459429,0.68937135"
56,"57,-2.2731347,2.7725065,1.8601876,3.2662234,-2.836906,8.800803,0.03541244,0.081963986,-0.022987263,-0.014596539,0.3459429,0.68937135"
57,"58,-2.2731347,2.7725065,1.8601876,3.2662234,-2.836906,8.800803,0.03541244,0.081963986,-0.022987263,-0.014596539,0.3459429,0.68937135"
58,"59,-2.277544,2.7686684,1.8576107,3.3336442,-3.245789,8.632616,0.044616073,0.06536976,-0.010019134,0.09819688,0.18174607,0.37106052"
59,"60,-2.277544,2.7686684,1.8576107,3.3336442,-3.245789,8.632616,0.044616073,0.06536976,-0.010019134,0.09819688,0.18174607,0.37106052"
60,"61,-2.277544,2.7686684,1.8576107,3.3336442,-3.245789,8.632616,0.044616073,0.06536976,-0.010019134,0.09819688,0.18174607,0.37106052"
61,"62,-2.277544,2.7686684,1.8576107,3.3336442,-3.245789,8.632616,0.044616073,0.06536976,-0.010019134,0.09819688,0.18174607,0.37106052"
62,"63,-2.277544,2.7686684,1.8576107,3.3336442,-3.245789,8.632616,0.044616073,0.06536976,-0.010019134,0.09819688,0.18174607,0.37106052"
63,"64,-2.2828436,2.765271,1.8551738,3.398017,-3.6504354,8.443826,0.07312019,0.028868223,0.011961,-0.060711868,0.42994937,0.65981585"
64,"65,-2.2828436,2.765271,1.8551738,3.398017,-3.6504354,8.443826,0.07312019,0.028868223,0.011961,-0.060711868,0.42994937,0.65981585"
65,"66,-2.2828436,2.765271,1.8551738,3.398017,-3.6504354,8.443826,0.07312019,0.028868223,0.011961,-0.060711868,0.42994937,0.65981585"
66,"67,-2.2828436,2.765271,1.8551738,3.398017,-3.6504354,8.443826,0.07312019,0.028868223,0.011961,-0.060711868,0.42994937,0.65981585"
67,"68,-2.2828436,2.765271,1.8551738,3.398017,-3.6504354,8.443826,0.07312019,0.028868223,0.011961,-0.060711868,0.42994937,0.65981585"
68,"69,-2.2904687,2.7636316,1.8508891,3.4504747,-4.030912,8.247203,0.09250372,-0.003614383,0.02662294,-0.0099698575,0.44534552,0.606581"
