,"id,Attitude Roll,Attitude Pitch,Attitude Azimuth,Gravity X,Gravity Y,Gravity Z,Rotation Rate X,Rotation Rate Y,Rotation Rate Z,User Acceleration X,User Acceleration Y,User Acceleration Z"
52,"53,1.0545136,2.2337914,-2.4099965,4.516223,-8.316579,2.5707266,0.06796105,0.032490056,-0.05263266,0.3471192,-0.12233624,-0.031122616"
53,"54,1.0566583,2.2518759,-2.397611,4.6017785,-8.271777,2.563538,0.049448382,0.02266362,-0.051719215,0.2504078,-0.69032717,0.12141244"
54,"55,1.0566583,2.2518759,-2.397611,4.6017785,-8.271777,2.563538,0.049448382,0.02266362,-0.051719215,0.2504078,-0.69032717,0.12141244"
55,"56,1.0566583,2.2518759,-2.397611,4.6017785,-8.271777,2.563538,0.049448382,0.02266362,-0.051719215,0.2504078,-0.69032717,0.12141244"
56,"57,1.0566583,2.2518759,-2.397611,4.6017785,-8.271777,2.563538,0.049448382,0.02266362,-0.051719215,0.2504078,-0.69032717,0.12141244"
57,"58,1.0566583,2.2518759,-2.397611,4.6017785,-8.271777,2.563538,0.049448382,0.02266362,-0.051719215,0.2504078,-0.69032717,0.12141244"
58,"59,1.0572957,2.2668781,-2.388141,4.6613803,-8.2398405,2.5586984,0.020596128,0.012259093,-0.040221322,-0.09593502,-0.102310926,0.5470427"
59,"60,1.0572957,2.2668781,-2.388141,4.6613803,-8.2398405,2.5586984,0.020596128,0.012259093,-0.040221322,-0.09593502,-0.102310926,0.5470427"
60,"61,1.0572957,2.2668781,-2.388141,4.6613803,-8.2398405,2.5586984,0.020596128,0.012259093,-0.040221322,-0.09593502,-0.102310926,0.5470427"
61,"62,1.0572957,2.2668781,-2.388141,4.6613803,-8.2398405,2.5586984,0.020596128,0.012259093,-0.040221322,-0.09593502,-0.102310926,0.5470427"
62,"63,1.0572957,2.2668781,-2.388141,4.6613803,-8.2398405,2.5586984,0.020596128,0.012259093,-0.040221322,-0.09593502,-0.102310926,0.5470427"
63,"64,1.0583783,2.2764668,-2.3819928,4.726021,-8.2153,2.518725,-0.014879121,0.00022889319,-0.017761046,-0.061035153,0.08616219,0.020197747"
64,"65,1.0583783,2.2764668,-2.3819928,4.726021,-8.2153,2.518725,-0.014879121,0.00022889319,-0.017761046,-0.061035153,0.08616219,0.020197747"
65,"66,1.0583783,2.2764668,-2.3819928,4.726021,-8.2153,2.518725,-0.014879121,0.00022889319,-0.017761046,-0.061035153,0.08616219,0.020197747"
66,"67,1.0583783,2.2764668,-2.3819928,4.726021,-8.2153,2.518725,-0.014879121,0.00022889319,-0.017761046,-0.061035153,0.08616219,0.020197747"
67,"68,1.0583783,2.2764668,-2.3819928,4.726021,-8.2153,2.518725,-0.014879121,0.00022889319,-0.017761046,-0.061035153,0.08616219,0.020197747"
68,"69,1.0582978,2.2832572,-2.3796675,4.774052,-8.205115,2.4606695,-0.0366442,-0.007763205,0.0089992285,-0.06346071,-0.1285461,-0.039900914"
69,"70,1.0582978,2.2832572,-2.3796675,4.774052,-8.205115,2.4606695,-0.0366442,-0.007763205,0.0089992285,-0.06346071,-0.1285461,-0.039900914"
70,"71,1.0582978,2.2832572,-2.3796675,4.774052,-8.205115,2.4606695,-0.0366442,-0.007763205,0.0089992285,-0.06346071,-0.1285461,-0.039900914"
71,"72,1.0582978,2.2832572,-2.3796675,4.774052,-8.205115,2.4606695,-0.0366442,-0.007763205,0.0089992285,-0.06346071,-0.1285461,-0.039900914"
72,"73,1.0582978,2.2832572,-2.3796675,4.774052,-8.205115,2.4606695,-0.0366442,-0.007763205,0.0089992285,-0.06346071,-0.1285461,-0.039900914"
73,"74,1.057555,2.2891276,-2.3789558,4.8123403,-8.20117,2.3984535,-0.0312551,-0.008281675,0.02557216,-0.22795711,0.44831887,-0.07845855"
74,"75,1.057555,2.2891276,-2.3789558,4.8123403,-8.20117,2.3984535,-0.0312551,-0.008281675,0.02557216,-0.22795711,0.44831887,-0.07845855"
75,"76,1.057555,2.2891276,-2.3789558,4.8123403,-8.20117,2.3984535,-0.0312551,-0.008281675,0.02557216,-0.22795711,0.44831887,-0.07845855"
76,"77,1.057555,2.2891276,-2.3789558,4.8123403,-8.20117,2.3984535,-0.0312551,-0.008281675,0.02557216,-0.22795711,0.44831887,-0.07845855"
77,"78,1.057555,2.2891276,-2.3789558,4.8123403,-8.20117,2.3984535,-0.0312551,-0.008281675,0.02557216,-0.22795711,0.44831887,-0.07845855"
78,"79,1.056979,2.2949018,-2.3776238,4.849109,-8.194567,2.346405,-0.0047663013,-0.0050516194,0.01807511,0.54310644,-0.32955006,-0.06375152"
79,"80,1.056979,2.2949018,-2.3776238,4.849109,-8.194567,2.346405,-0.0047663013,-0.0050516194,0.01807511,0.54310644,-0.32955006,-0.06375152"
80,"81,1.056979,2.2949018,-2.3776238,4.849109,-8.194567,2.346405,-0.0047663013,-0.0050516194,0.01807511,0.54310644,-0.32955006,-0.06375152"
81,"82,1.056979,2.2949018,-2.3776238,4.849109,-8.194567,2.346405,-0.0047663013,-0.0050516194,0.01807511,0.54310644,-0.32955006,-0.06375152"
82,"83,1.056979,2.2949018,-2.3776238,4.849109,-8.194567,2.346405,-0.0047663013,-0.0050516194,0.01807511,0.54310644,-0.32955006,-0.06375152"
83,"84,1.0571599,2.3000782,-2.3749177,4.88829,-8.181683,2.3097763,0.03280199,-0.00022782857,-0.010199055,-0.35981572,0.046634965,-0.23978963"
84,"85,1.0571599,2.3000782,-2.3749177,4.88829,-8.181683,2.3097763,0.03280199,-0.00022782857,-0.010199055,-0.35981572,0.046634965,-0.23978963"
85,"86,1.0571599,2.3000782,-2.3749177,4.88829,-8.181683,2.3097763,0.03280199,-0.00022782857,-0.010199055,-0.35981572,0.046634965,-0.23978963"
86,"87,1.0571599,2.3000782,-2.3749177,4.88829,-8.181683,2.3097763,0.03280199,-0.00022782857,-0.010199055,-0.35981572,0.046634965,-0.23978963"
87,"88,1.0571599,2.3000782,-2.3749177,4.88829,-8.181683,2.3097763,0.03280199,-0.00022782857,-0.010199055,-0.35981572,0.046634965,-0.23978963"
88,"89,1.0571599,2.3000782,-2.3749177,4.88829,-8.181683,2.3097763,0.03280199,-0.00022782857,-0.010199055,-0.35981572,0.046634965,-0.23978963"
89,"90,1.0571599,2.3000782,-2.3749177,4.9420495,-8.157808,2.2796276,0.066565335,0.001924832,-0.040375695,0.28607017,-0.25356215,-0.03150948"
90,"91,1.0571599,2.3000782,-2.3749177,4.9420495,-8.157808,2.2796276,0.066565335,0.001924832,-0.040375695,0.28607017,-0.25356215,-0.03150948"
91,"92,1.0571599,2.3000782,-2.3749177,4.9420495,-8.157808,2.2796276,0.066565335,0.001924832,-0.040375695,0.28607017,-0.25356215,-0.03150948"
92,"93,1.0571599,2.3000782,-2.3749177,4.9420495,-8.157808,2.2796276,0.066565335,0.001924832,-0.040375695,0.28607017,-0.25356215,-0.03150948"
93,"94,1.0571599,2.3000782,-2.3749177,4.9420495,-8.157808,2.2796276,0.066565335,0.001924832,-0.040375695,0.28607017,-0.25356215,-0.03150948"
94,"95,1.0571599,2.3000782,-2.3749177,4.9420495,-8.157808,2.2796276,0.066565335,0.001924832,-0.040375695,0.28607017,-0.25356215,-0.03150948"
95,"96,1.0613308,2.3063056,-2.3651412,4.9927874,-8.130406,2.2669268,0.08179578,-0.003418493,-0.051406216,0.02424379,-0.31617618,-0.29443333"
96,"97,1.0613308,2.3063056,-2.3651412,4.9927874,-8.130406,2.2669268,0.08179578,-0.003418493,-0.051406216,0.02424379,-0.31617618,-0.29443333"
97,"98,1.0613308,2.3063056,-2.3651412,4.9927874,-8.130406,2.2669268,0.08179578,-0.003418493,-0.051406216,0.02424379,-0.31617618,-0.29443333"
98,"99,1.0613308,2.3063056,-2.3651412,4.9927874,-8.130406,2.2669268,0.08179578,-0.003418493,-0.051406216,0.02424379,-0.31617618,-0.29443333"
